,id,match_api_id,home_team_api_id,Hometeam_rating,Awayteam_rating,league,avg_player_rating
207,208,493070,10001,58.30982767232767,72.17207766442506,Belgium Jupiler League,65.24095266837637
208,209,493071,9996,39.60019405881474,71.44752879461527,Belgium Jupiler League,55.523861426715
209,210,493072,8342,69.44722959407741,52.21949035812672,Belgium Jupiler League,60.83335997610207
210,211,493073,4049,51.13939393939393,55.69986496991141,Belgium Jupiler League,53.41962945465267
211,212,493074,8203,53.86795991886902,64.26427841464498,Belgium Jupiler League,59.066119166757
212,213,493075,9987,68.2370632734269,61.76571187640707,Belgium Jupiler League,65.00138757491698
213,214,493076,7947,45.268614957610176,62.44754689754689,Belgium Jupiler League,53.858080927578534
214,215,493077,10000,65.42054219579795,52.546313980137505,Belgium Jupiler League,58.983428087967724
215,216,493078,9994,59.249844599844614,60.35684126317169,Belgium Jupiler League,59.803342931508155
216,217,493079,9993,60.769738710551884,69.07060621745404,Belgium Jupiler League,64.92017246400296
217,218,493080,9984,65.48594311358242,67.27376142376143,Belgium Jupiler League,66.37985226867193
218,219,493081,9986,60.8907740608205,65.66296643822218,Belgium Jupiler League,63.27687024952134
219,220,493082,9999,62.41118326118326,68.89596422210059,Belgium Jupiler League,65.65357374164192
220,221,493083,8635,72.17207766442506,39.32095655540632,Belgium Jupiler League,55.746517109915686
221,222,493084,9985,71.4967712188577,60.002181253090335,Belgium Jupiler League,65.74947623597402
222,223,493085,9994,64.06802641802643,39.60019405881475,Belgium Jupiler League,51.83411023842059
223,224,493086,8571,62.922667947284324,51.99832810867293,Belgium Jupiler League,57.46049802797863
224,225,493087,9998,56.03767217630854,58.15225191475192,Belgium Jupiler League,57.09496204553023
225,226,493088,4049,51.361964472309296,71.92123591358332,Belgium Jupiler League,61.641600192946306
226,227,493089,10000,66.09478462004037,72.14449849158497,Belgium Jupiler League,69.11964155581268
227,228,493090,7947,57.38156261601238,46.67403581267217,Belgium Jupiler League,52.02779921434228
228,229,493091,8203,65.82664012754923,60.89077406082049,Belgium Jupiler League,63.35870709418486
229,230,493092,9991,67.65413286505185,64.66512199921291,Belgium Jupiler League,66.15962743213238
230,231,493093,8342,69.29925257110041,57.624669774669776,Belgium Jupiler League,63.4619611728851
231,232,493094,10001,65.1810397935398,62.356637806637806,Belgium Jupiler League,63.7688388000888
232,233,493095,9987,66.58869648869648,57.35592913054551,Belgium Jupiler League,61.972312809621
233,234,493096,9996,39.63049708911778,60.769738710551884,Belgium Jupiler League,50.20011789983484
234,235,493097,9985,71.65661970370617,69.16811981496765,Belgium Jupiler League,70.41236975933691
235,236,493098,9986,60.8907740608205,66.66134220047263,Belgium Jupiler League,63.77605813064656
236,237,493099,9996,39.63049708911778,65.56774107534977,Belgium Jupiler League,52.59911908223378
237,238,493100,8571,57.89231601731603,68.33638243366505,Belgium Jupiler League,63.11434922549054
238,239,493101,9994,58.57618492618492,57.38156261601238,Belgium Jupiler League,57.97887377109865
239,240,493102,9993,59.90172285217091,59.56261627261628,Belgium Jupiler League,59.732169562393594
240,241,493103,8635,71.77473529664792,63.1505772005772,Belgium Jupiler League,67.46265624861256
241,242,493104,9998,51.96535812672176,54.48484848484848,Belgium Jupiler League,53.22510330578512
242,243,493105,9984,64.68291281055211,65.18103979353981,Belgium Jupiler League,64.93197630204597
243,244,493106,9987,66.59718614718614,72.17207766442507,Belgium Jupiler League,69.3846319058056
244,245,493107,9991,68.4080854342218,71.8937409158274,Belgium Jupiler League,70.1509131750246
245,246,493108,10000,66.09478462004037,51.85585399449035,Belgium Jupiler League,58.975319307265366
246,247,493109,7947,57.00357218539037,55.10423217133743,Belgium Jupiler League,56.0539021783639
247,248,493110,9999,53.63636363636363,64.31663715072806,Belgium Jupiler League,58.97650039354585
248,249,493111,8203,54.03011998102907,53.464296814296816,Belgium Jupiler League,53.747208397662945
249,250,493112,8342,69.1055512723991,39.97924901185771,Belgium Jupiler League,54.5424001421284
250,251,493113,10001,59.53069014319014,58.948428532252066,Belgium Jupiler League,59.239559337721104
251,252,493114,4049,47.66666666666666,53.17389484529444,Belgium Jupiler League,50.42028075598055
306,307,665318,9985,71.8085014241363,59.76914600550965,Belgium Jupiler League,65.78882371482297
307,308,665320,9986,59.35751565256209,69.72747783662513,Belgium Jupiler League,64.5424967445936
308,309,665321,9984,64.77875836284927,67.38216393821232,Belgium Jupiler League,66.0804611505308
309,310,665322,9994,65.59983047255774,65.64781492307067,Belgium Jupiler League,65.6238226978142
310,311,665323,8571,63.52132344779404,73.07545993432907,Belgium Jupiler League,68.29839169106155
311,312,665324,8203,65.11196540832906,59.08769987986495,Belgium Jupiler League,62.099832644097006
312,313,665325,9999,56.13080808080808,66.17673391670718,Belgium Jupiler League,61.15377099875763
313,314,665411,8342,69.90602108036892,72.44874909188934,Belgium Jupiler League,71.17738508612914
314,315,665412,9985,71.85449114803953,61.913768638768644,Belgium Jupiler League,66.8841298934041
315,316,665413,9997,53.14460842188116,65.57194539030459,Belgium Jupiler League,59.358276906092875
316,317,665414,9986,53.81091376959657,65.8340448173336,Belgium Jupiler League,59.822479293465086
317,318,665417,8203,65.06501236137599,64.9373826598707,Belgium Jupiler League,65.00119751062334
318,319,665420,9999,56.973376623376616,65.03264505586641,Belgium Jupiler League,61.00301083962151
319,320,665421,9993,65.83647909577054,63.75577644046544,Belgium Jupiler League,64.796127768118
320,321,665425,8342,70.2041920760399,68.17135959104434,Belgium Jupiler League,69.18777583354212
321,322,665426,8635,72.88971963649625,60.29478675935192,Belgium Jupiler League,66.5922531979241
322,323,665427,9987,68.26182058682058,64.95312424948789,Belgium Jupiler League,66.60747241815423
323,324,665429,10000,65.57194539030459,65.83647909577054,Belgium Jupiler League,65.70421224303757
324,325,665430,9994,65.69629511902238,65.18112990435125,Belgium Jupiler League,65.43871251168682
325,326,665432,8571,66.44768118096997,56.961111111111116,Belgium Jupiler League,61.70439614604054
326,327,665435,10001,64.56551570958685,70.6914983164983,Belgium Jupiler League,67.62850701304257
327,328,665438,9985,70.63441003441004,65.82996678067892,Belgium Jupiler League,68.23218840754447
328,329,665440,9997,53.96938213301849,68.06185675591355,Belgium Jupiler League,61.015619444466026
329,330,665442,9986,60.25473999684525,64.56551570958685,Belgium Jupiler League,62.41012785321605
330,331,665443,9984,64.02031680440771,66.44768118096997,Belgium Jupiler League,65.23399899268884
331,332,665444,9994,65.69629511902238,61.262902837902836,Belgium Jupiler League,63.479598978462604
332,333,665445,8203,64.95312424948789,73.0868791993298,Belgium Jupiler League,69.02000172440884
333,334,665446,9999,55.38398268398269,69.8115476190476,Belgium Jupiler League,62.59776515151515
334,335,665535,8342,70.04022021456805,47.560192837465564,Belgium Jupiler League,58.80020652601681
335,336,665536,8635,72.50836327081389,65.57941587917664,Belgium Jupiler League,69.04388957499526
336,337,665537,9987,62.23303270803271,63.70365013774106,Belgium Jupiler League,62.96834142288688
337,338,665539,10000,65.82996678067892,59.848679390784646,Belgium Jupiler League,62.83932308573178
338,339,665541,9991,68.24459720387141,65.5631152047596,Belgium Jupiler League,66.9038562043155
339,340,665543,8571,67.0941458274346,64.95312424948789,Belgium Jupiler League,66.02363503846124
340,341,665545,10001,57.9648663589375,56.02792207792208,Belgium Jupiler League,56.996394218429785
341,342,665548,9985,71.51383866886259,69.87525216374728,Belgium Jupiler League,70.69454541630493
342,343,665551,9987,62.23303270803271,72.88905212219238,Belgium Jupiler League,67.56104241511255
343,344,665553,9986,60.10074550648713,67.94532909979647,Belgium Jupiler League,64.02303730314179
344,345,665554,9984,64.20341401023221,64.52125733638111,Belgium Jupiler League,64.36233567330666
345,346,665556,9994,65.67558637534714,67.0941458274346,Belgium Jupiler League,66.38486610139087
346,347,665559,9999,56.02792207792208,65.9810362993955,Belgium Jupiler League,61.00447918865879
347,348,665561,9993,65.5631152047596,47.50968778696051,Belgium Jupiler League,56.536401495860055
348,349,665568,8342,69.27579297559242,60.09686340100779,Belgium Jupiler League,64.68632818830011
349,350,665570,8635,73.13613836927863,62.009740259740255,Belgium Jupiler League,67.57293931450944
350,351,665571,9997,47.559405745769375,64.09042699724519,Belgium Jupiler League,55.824916371507285
351,352,665574,10000,65.43905768976983,64.85458390094755,Belgium Jupiler League,65.14682079535868
352,353,665575,9991,67.93359889451787,71.59260201078382,Belgium Jupiler League,69.76310045265085
353,354,665577,8571,67.0941458274346,60.24253246753247,Belgium Jupiler League,63.668339147483536
354,355,665581,10001,57.97008123975046,58.7237049234657,Belgium Jupiler League,58.34689308160808
355,356,665585,8342,70.4159076222416,59.522390528132156,Belgium Jupiler League,64.96914907518688
356,357,665586,8635,72.18592857906883,67.08748582077459,Belgium Jupiler League,69.63670719992172
357,358,665588,9997,53.77782369146005,69.27166695169086,Belgium Jupiler League,61.52474532157545
358,359,665590,10000,65.970875871588,59.517552490040536,Belgium Jupiler League,62.74421418081427
359,360,665591,9991,68.33428644226423,64.01252678298134,Belgium Jupiler League,66.17340661262278
360,361,665595,10001,58.54363495875873,52.894210940574574,Belgium Jupiler League,55.71892294966665
361,362,665596,9993,66.20986845151283,62.62994227994227,Belgium Jupiler League,64.41990536572754
362,363,665598,9985,72.43766554939576,66.20986845151283,Belgium Jupiler League,69.3237670004543
363,364,665599,9987,63.50106073263967,63.99818041330418,Belgium Jupiler League,63.74962057297193
364,365,665601,9986,59.84679500066497,59.15444706808342,Belgium Jupiler League,59.50062103437419
365,366,665603,9984,64.63027351436443,72.33511272825298,Belgium Jupiler League,68.4826931213087
366,367,665604,9994,65.00980266410889,70.08379770317516,Belgium Jupiler League,67.54680018364203
367,368,665606,8571,60.922081780370554,66.1013953521075,Belgium Jupiler League,63.51173856623903
368,369,665607,8203,58.26184885821249,67.7637895478543,Belgium Jupiler League,63.012819203033395
